,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,MontoRetInv,MontoRetMuerte,MontoRetVol,NumPartInv,NumPartMuertos,NumPartRet,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPenInv,PagoPrimPenRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,892400335.786,53791364.0042,10.2457746063,4.88841211815e-28,0.0,0.0,3008446.98092,44472259.6515,1136213861.21,73236369.4596,1179223457.76,1.0,45951786.6167,11266298.7773,1171018316.9,0.0,0.0,0.0,1.0,6.0,0.0,416.0,134.0,1063136741.34,37204438.9854,1077698438.94,0.0,0.0,1479526.96518,34804455.6902,36031930.4742,101525018.821,982268209.262,2.75093086399e+11,23557128089.7,53791364.0042,42.0
0,933746443.562,56404802.0026,15296481.8885,1161009350.18,14698000.7831,0.0,3036084.84866,0.0,928182430.553,24732169.4751,4296210510.09,1.0,0.0,0.0,956367715.153,0.0,0.0,0.0,0.0,0.0,0.0,376.0,148.0,1112529489.4,39430170.2582,1129274082.99,0.0,0.0,0.0,28185284.6002,0.0,3166936427.11,979651231.17,2.85171543308e+11,24459255900.3,56404802.0026,43.0
0,983962180.149,59327414.7864,2.34109087593e-30,7.62900154742e-20,0.0,914298594.997,3302434.26586,19518626.0,1093259232.03,50872908.379,257639449.85,1.0,20129759.1323,18459398.7801,1126717960.41,0.0,0.0,0.0,1.0,5.0,0.0,372.0,148.0,1172235499.93,40431696.5828,1171938044.85,0.0,0.0,611133.13231,33458728.3862,10441211.7962,0.0,1088283785.4,2.9421438159e+11,25159225786.9,59327414.7864,44.0
0,1006856006.59,60633877.7413,6.89605869995e-30,6.08176064957e-29,894355.198853,0.0,3447973.01357,61580340.1394,1177971749.25,40089397.3432,2059367488.61,1.0,63307001.7637,855189.699325,1214096442.46,0.0,0.0,0.0,1.0,2.0,0.0,380.0,186.0,1199426836.33,40983752.5421,1219824511.65,0.0,0.0,1726661.62432,36124693.2129,0.0,839542976.952,1117811467.76,3.0387887061e+11,25989264470.5,60633877.7413,45.0
0,1039824706.32,62604782.9103,1.4068428298e-29,473582260.134,0.0,0.0,3573623.4037,93986821.2335,1265056086.53,52693340.2295,3714986423.47,1.0,96716154.0518,10776703.0304,1303691148.73,0.0,0.0,0.0,3.0,3.0,0.0,380.0,186.0,1238684819.36,42080767.0104,1270664226.19,0.0,0.0,2729332.81829,38635062.1989,10612573.2191,2444322197.28,1168874965.89,3.13656288511e+11,26877457068.8,62604782.9103,46.0
0,1076101835.32,64836411.0213,2.93303140292e-29,2.96294679615e-29,6939837.22866,1111378836.19,3655155.71199,52426716.7705,1328244630.53,39008439.1356,210956293.943,1.0,53924721.56,3683662.30631,1368632082.9,0.0,0.0,0.0,2.0,2.0,0.0,399.0,201.0,1281953085.78,45948276.3643,1322335130.13,0.0,0.0,1498004.78953,40387452.3722,0.0,0.0,1196451063.22,3.23845907306e+11,27815596860.0,64836411.0213,47.0
0,1129555847.59,68163767.8354,5.17307881919e-26,260.977081387,0.0,0.0,3739442.72864,51920623.8804,1202905960.47,50813051.5362,4603490019.35,1.0,53454623.7308,25552065.0899,1239713022.14,0.0,0.0,0.0,2.0,4.0,0.0,379.0,210.0,1345752376.88,48449129.7221,1379571981.09,0.0,0.0,1533999.85038,36807061.67,2363921.81411,3223918038.25,1235825464.15,3.3523014767e+11,28822558483.3,68163767.8354,48.0
0,1176089124.07,70896992.3476,2.06739788503e-25,1.16956234213e-28,2405488.11261,1162630427.07,3962009.51427,120885891.885,1334850367.28,48847212.951,263209016.085,1.0,124748877.849,15977972.651,1375639877.06,0.0,0.0,0.0,1.0,4.0,0.0,386.0,234.0,1401107995.97,51252701.0636,1425839443.15,0.0,0.0,3862985.96429,40789509.7863,0.0,0.0,1289706815.02,3.46543675225e+11,29716489704.5,70896992.3476,49.0
0,1226980432.53,73959009.7953,30208991.5969,3.71386285083e-28,0.0,0.0,4137737.84604,116352997.475,1424418325.92,784357690.56,11752581802.1,1.0,119752727.772,4666608.32439,1467940599.09,0.0,0.0,0.0,3.0,3.0,0.0,395.0,228.0,1461729710.47,56056306.284,1481581541.09,0.0,0.0,3399730.29723,43522273.1672,728301384.276,10271000261.0,1346514460.69,3.58054479495e+11,30655135894.1,73959009.7953,50.0
0,1295156168.52,78124888.1316,2.84828554012e-27,8.45614696817e-29,0.0,0.0,4316539.9085,49227882.436,1342069782.44,75478792.6383,1969960287.28,1.0,50608191.3992,4304288.44299,1382781612.56,0.0,0.0,0.0,1.0,2.0,0.0,380.0,235.0,1543012423.2,60792175.6736,1531116534.42,0.0,0.0,1380308.96316,40711830.1169,14686616.9646,438843752.861,1417211524.62,3.7071335059e+11,31718200572.2,78124888.1316,51.0
